id,num_orders
1028232,81.4
1262649,81.4
1453211,84.39
1262599,85.06
1495848,85.87
1342607,82.62
1358429,81.4
1475006,85.87
1009709,81.4
1460444,1304.77
1476535,1157.29
1297121,747.17
1141103,1106.13
1274933,1093.43
1435122,1106.13
1486477,959.18
1195364,1157.29
1301491,1057.11
1059056,802.14
1098228,1314.77
1080847,1316.25
1064602,1314.77
1093227,1314.77
1177861,1308.01
1259611,1306.53
1274836,1314.77
1030333,1313.29
1249982,1314.77
1188591,1314.77
1316160,747.31
1419545,747.31
1062437,743.8
1181575,1158.5
1143023,653.14
1278339,743.8
1282203,737.61
1080746,743.8
1296937,743.39
1210564,746.21
1390579,334.24
1436947,329.95
1045739,357.14
1318087,359.29
1223698,365.64
1436625,359.29
1383644,340.84
1045356,331.28
1121593,342.21
1114635,312.82
1332667,2593.79
1039351,2653.14
1319273,2570.17
1305518,2645.11
1327143,2577.64
1272171,2746.63
1223757,2748.37
1090089,2739.32
1128850,2735.39
1446344,2532.11
1237947,830.04
1452835,855.98
1029462,855.98
1365321,855.98
1377892,835.71
1378346,835.71
1261333,830.04
1427333,855.98
1157382,855.98
1168967,840.76
1306954,2083.18
1342909,2097.34
1244760,2097.34
1431361,2097.34
1276681,2083.18
1148958,2097.34
1184174,2097.34
1323560,2097.34
1066229,2097.34
1025558,2097.34
1083889,348.63
1378453,356.66
1434331,342.04
1311554,349.04
1111904,353.22
1430955,330.6
1455829,331.81
1182896,356.66
1205862,334.4
1215917,354.5
1409427,355.48
1100468,328.77
1411863,377.94
1010693,390.81
1004925,390.3
1265382,382.15
1239027,390.3
1462013,401.68
1464784,355.48
1440692,358.41
1268331,426.89
1030648,407.11
1033468,443.69
1452010,375.97
1164883,417.85
1265395,416.28
1214244,425.57
1307226,435.69
1425834,440.42
1105463,403.03
1245977,120.23
1352817,126.47
1245183,125.56
1490092,126.47
1278462,127.98
1090267,126.47
1231613,129.21
1164334,126.47
1300150,126.62
1231259,126.47
1243020,280.93
1433764,274.9
1124103,269.46
1031825,274.75
1437782,290.63
1087645,283.9
1185456,283.9
1450862,284.43
1465438,272.85
1035890,291.3
1267165,951.83
1262997,1038.78
1088775,940.25
1217709,958.63
1430418,969.64
1275478,984.9
1435295,1038.78
1346982,1072.55
1160970,1072.55
1310566,958.61
1014151,729.28
1374002,687.63
1417996,729.28
1141881,705.47
1219590,729.28
1373220,706.55
1355558,770.9
1042282,729.28
1323969,729.28
1480827,731.7
1161084,359.96
1351984,317.16
1196384,348.69
1231951,373.01
1004647,287.82
1441493,352.7
1337172,414.34
1127689,331.81
1321298,324.34
1475476,305.39
1207745,628.65
1332437,629.16
1295195,620.79
1238168,1168.83
1401191,1192.65
1320351,620.09
1015073,620.09
1440436,627.13
1488196,629.16
1084735,617.99
1312130,169.09
1284072,192.35
1390606,186.25
1177870,185.6
1217412,196.95
1391279,196.01
1000635,192.95
1070142,158.83
1158077,181.03
1263948,195.46
1240615,1590.46
1397490,1590.46
1355088,1557.83
1401705,1590.46
1422185,1558.16
1390157,1590.46
1460838,1557.83
1377519,1590.46
1310657,1556.53
1491023,1563.01
1067356,985.36
1282200,1090.82
1137357,985.36
1396043,1082.44
1269970,1089.06
1350440,1090.82
1308326,1089.06
1242087,1089.06
1043619,985.36
1222185,985.36
1497941,730.38
1278537,681.35
1355035,743.38
1143583,757.09
1020166,740.73
1406416,757.09
1203123,726.05
1480428,689.04
1420069,672.97
1125502,750.52
1249505,230.16
1206767,229.47
1094469,221.75
1278323,201.51
1173977,194.17
1140787,221.75
1116819,238.19
1252003,432.32
1352888,201.51
1128508,174.32
1034558,72.06
1176365,71.19
1094576,71.19
1392466,71.11
1055474,71.19
1217360,70.2
1271801,71.13
1345064,71.21
1401294,80.13
1024879,71.21
1001797,812.18
1131807,812.33
1494899,812.18
1268958,812.33
1288154,812.33
1203405,812.18
1040370,822.5
1044833,812.18
1350447,812.18
1347690,812.33
1025721,485.12
1457412,379.99
1251774,474.66
1380718,392.08
1262455,489.1
1043759,473.94
1153098,483.79
1142567,379.99
1044267,387.36
1263998,464.75
1185434,1377.89
1101049,1749.65
1101699,1746.94
1089294,1749.65
1480593,1406.76
1339799,1811.69
1261433,1811.69
1397430,1262.27
1083089,1377.89
1138673,1749.65
1306281,113.47
1042427,126.93
1039235,127.75
1270474,131.23
1387994,110.98
1204001,137.34
1146761,132.88
1160004,127.01
1274185,131.76
1271542,120.44
1470774,775.88
1299041,788.45
1105837,779.49
1082803,779.64
1023822,779.49
1312925,784.27
1089746,779.64
1133734,779.64
1096643,781.03
1095601,778.32
1236999,984.49
1129005,1008.35
1060160,999.78
1139012,1007.81
1009801,1037.3
1499374,998.56
1130038,1011.6
1136954,1008.93
1214539,998.84
1341789,1013.23
1402501,80.63
1305350,64.94
1416500,70.89
1061620,80.4
1356623,70.25
1135009,70.25
1039371,68.94
1358442,62.89
1330108,72.82
1368952,106.2
1402068,490.21
1414079,491.25
1027086,491.25
1376822,496.82
1473650,495.36
1318829,501.65
1485144,494.68
1440877,496.28
1259634,507.5
1197323,501.23
1334064,317.51
1474493,282.1
1452523,297.46
1109460,322.6
1397686,884.83
1436925,284.53
1271835,292.48
1266289,284.53
1172743,849.81
1028916,859.75
1373369,1521.16
1159100,1525.38
1078309,1514.51
1444543,1514.51
1403090,1525.38
1091288,1537.12
1357059,1514.51
1258709,1537.12
1016250,1537.12
1291439,1537.12
1487991,370.03
1173983,418.18
1455460,415.6
1093777,418.57
1284038,417.65
1398418,421.69
1100317,368.78
1050205,427.35
1355831,428.12
1205352,427.15
1352373,509.69
1145134,663.68
1285247,509.69
1485963,436.26
1410494,436.26
1194947,436.26
1479842,688.62
1141874,436.26
1219813,436.26
1020182,407.73
1083024,466.5
1027186,461.59
1226206,459.91
1193020,461.59
1208269,1254.32
1441531,466.56
1201640,460.23
1412072,1219.96
1063733,1254.32
1196516,468.19
1115748,443.63
1281521,441.95
1451363,452.14
1430974,434.43
1461605,450.24
1248805,451.02
1365062,452.14
1413517,441.95
1079468,706.48
1462434,440.25
1171225,567.16
1113088,609.89
1421572,586.77
1231421,585.88
1155226,586.67
1050090,584.05
1462159,585.88
1262088,595.71
1059783,585.2
1068765,594.77
1221985,587.87
1301321,583.07
1463289,586.63
1275946,586.12
1400875,587.87
1348564,586.63
1273247,587.87
1017611,587.87
1062279,586.63
1237961,587.87
1224992,596.54
1311411,597.19
1058810,594.13
1180280,601.43
